Country,City/region,Period,Host,Overview,year
Bolivia,La Paz,22 de janeiro,Host," - Cerimônia de posse dos Senhores Evo Morales Ayma e Álvaro García Linera nos cargos de Presidente e Vice-Presidente do Estado Plurinacional da Bolívia
 - Cumprimento aos Senhores Evo Morales Ayma e  Álvaro García Linera, Presidente e Vice-Presidente do Estado Plurinacional da Bolívia
 - Foto Oficial",2015
Costa Rica,San Jose,28 e 29 de janeiro,Host," - 2ª Sessão Plenária da III Cúpula da Comunidade de Estados Latino-Americanos e Caribenhos (CELAC)
 - Encontro com o Presidente da República da  Colômbia, Juan Manoel Santos
 - Encontro com o Presidente da República do  Panamá, Juan Carlos Varela
 - Jantar em homenagem aos Chefes de Estado e de  Governo da CELAC, oferecido pelo  Presidente da  República da Costa Rica, Luis Guillermo Solis Rivera
 - Retiro dos Chefes de Estado, de Governo e Chanceleres da III Cúpula da Comunidade de Estados Latino-Americanos e Caribenhos (CELAC)",2015
Uruguay,Colonia del Sacramento,28 de fevereiro,Host," - Cerimônia de Inauguração do Parque Eólico Artilleros
 - Almoço oferecido pelo Presidente do Uruguai, José Mujica, e pela Senadora Lucia Topolansky
 - [Montevideo]
 - Sessão Solene de Compromisso de Honra e Declaração de Fidelidade Constitucional
 - Cerimônia de Transmissão de Mandato Presidencial",2015
Panama,Panama City,10 de abril,Host," - Encontro bilateral com o Presidente do México, Enrique Peña Nieto
 - Painel do Foro Empresarial das Américas - Unindo as Américas: Integração Produtiva para o Desenvolvimento Inclusivo
 - Presidente do Facebook, Mark Zuckerberg
 - Secretário-Geral da ONU, Ban Ki-moon
 - Encontro bilateral com o Presidente da Colômbia, Juan Manuel Santos
 - Cerimônia Inaugural da VII Cúpula das Américas
 - Jantar oferecido aos Chefes de Estado e de Governo da Cúpula das Américas pelo Presidente do Panamá, Juan Carlos Varela Rodrigues, e Senhora Lorena Castillo de Varela
 - Encontro bilateral com a Presidenta da República da Argentina, Cristina Fernández de Kirchner",2015
Mexico,Mexico City,26 e 27 de maio,Host," - Reunião com empresários brasileiros
 - Cerimônia de deposição de oferenda floral
 - Cerimônia oficial de chegada
 - Reunião privada
 - Fotografia oficial
 - Reunião ampliada
 - Cerimônia de assinatura de atos e declaração à imprensa
 - Almoço oferecido pelo presidente do México, Enrique Peña Nieto
 - Encerramento do Encontro Empresarial Brasil-México
 - Entrevista à Agência de Notícias do Estado Mexicano - Notimex
 - Entrevista coletiva
 - Sessão solene da Comissão Permanente do Congresso da União em homenagem à Presidenta da República",2015
Belgium,Brussels,10 e 11 de junho,Host," - Chegada a Bruxelas/Bélgica
 - Cumprimento oficial
 - Sessão de abertura da II Cúpula UE-CELAC
 - Apresentação dos resultados das reuniões preparatórias
 - 1ª Sessão de Trabalho da II Cúpula UE-CELAC -  Revigorando a Parceria Birregional
 - 2ª Sessão de Trabalho da II Cúpula UE-CELAC - Encarando os Desafios Globais de Forma Conjunta
 - Fotografia oficial
 - Jantar em homenagem aos Chefes de Estado e/ou de Governo dos Países da UE- CELAC oferecido pelo Presidente do Conselho Europeu, Donald Tusk
 - Retiro dos Chefes de Estado e de Governo da II Cúpula UE-CELAC
 - Partida para Salvador (BA)",2015
United States of America,New York,"27, 28 e 29 de junho",Host," - Chegada a Nova Iorque
 - Encontro com empresários brasileiros
 - Reunião com Rupert Murdoch e diretores da News Corporation; Visita ao The Wall Street Journal
 - Encontro com investidores do setor financeiro
 - Encontro com empresários do setor produtivo
 - Audiência concedida a Henry Kissinger
 - Encerramento de Encontro Empresarial sobre Oportunidades de Investimento em Infraestrutura no Brasil
 - Partida de Nova Iorque para Washington
 - [Washington]
 - Reunião de trabalho com o presidente dos Estados Unidos da América, Barack Obama
 - Declaração à imprensa
 - Almoço oferecido pelo vice-presidente dos Estados Unidos da América, Joseph Biden
 - Encontro com a ex-secretária de Estado, Madeleine Albright
 - Encerramento da Cúpula Empresarial Brasil-Estados Unidos
 - Partida de Washington para São Francisco
 - [San Francisco]
 - Encontro com a Presidente da Universidade da Califórnia, Janet Napolitano
 - Reunião com o Presidente Executivo do Google, Erick Schmidt
 - Visita ao Complexo Google
 - Encontro com a senhora Condoleezza Rice
 - Almoço em homenagem à Presidenta da República, oferecido pela senhora Condoleezza Rice Partida de São Francisco para Brasília
 - Reunião com o presidente do SRI International, Bill Jeffrey
 - Reunião com empresários do setor aeroespacial
 - Visita ao Centro de Pesquisas da NASA",2015
Russia,Ufa,07 à 09 de julho,Host," - Partida para a Rússia
 - Chegada a Ufa/Rússia
 - Jantar oferecido pelo presidente da Federação da   Rússia, Vladimir Putin, em homenagem aos Chefes   de Estado e de Governo do BRICS
 - Encontro com o presidente da Federação da   Rússia, Vladimir Putin
 - Encontro com o senhor Nursultan Nazarbayev,   Presidente da República do Cazaquistão
 - Encontro com o senhor Alexander Lukashenko,   Presidente da República de Belarus
 - Encontro dos Chefes de Estado e de Governo do   BRICS com o Conselho Empresarial do BRICS
 - Fotografia oficial
 - Encontro privado dos Chefes de Estado e de Governo   do BRICS
 - Almoço de trabalho dos Chefes de Estado e de   Governo do BRICS - Sessão Plenária dos Chefes de Estado e de Governo   do BRICS
 - Cerimônia de Assinatura de Atos
 - Encontro bilateral com o Presidente da República   Popular da China, Xi Jinping
 - Encontro bilateral com o primeiro-ministro da   Índia, Narendra Modri - Fotografia oficial
 - Reunião dos Chefes de Estado e de Governo do   BRICS com os países convidados - Concerto-jantar oferecido pelo presidente da Federação   da Rússia, Vladimir Putin, em homenagem aos Chefes de Estado e de Governo do BRICS e da Organização de Cooperação de Xangai",2015
Italy,Rome and Milan,10 e 11 de julho,Host," - [Rome]
 - Encontro com o Presidente da República Italiana, Sergio Mattarella
 - Almoço oferecido pelo Presidente da República Italiana, Sergio Mattarella
 - Audiência concedida ao Diretor-Geral da FAO,  José Graziano
 - Reunião de trabalho com o Primeiro-Ministro da República Italiana, Matteo Renzi
 - Declaração à imprensa
 - [Milan]
 - Visita ao Pavilhão do Brasil na Expo Milão 2015
 - Visita ao Pavilhão Zero, Divinus habilitus terrae, da Expo Milão 2015
 - Partida de Milão para Brasília",2015
United States of America,New York,25 a 28 de setembro,Host," - Discurso do Papa Francisco nas Nações Unidas
 - Abertura da Conferência das Nações Unidas para a Agenda  de Desenvolvimento Pós- 2015
 - Entrevista à CNN
 - Encontro com o presidente da República Islâmica do Irã, Hassan Rohani
 - Recepção oferecida pelo Primeiro-Ministro do Reino da Suécia,  Stefan Löfven, em apoio à implementação da Agenda de Desenvolvimento Pós-2015
 - Reunião de Cúpula do G4
 - Sessão Plenária da Conferência das Nações Unidas  para a Agenda de Desenvolvimento Pós-2015
 - Encontro de líderes globais sobre igualdade de  gênero e empoderamento das mulheres: um  compromisso para a ação
 - Almoço de trabalho sobre Mudança do Clima,   promovido pelo presidente da República Francesa, François Hollande, pelo presidente  da República do Peru, Ollanta Humala, e pelo  Secretário-Geral das Nações Unidas, Ban  Ki-moon
 - Audiência concedida ao senhor Bill Gates e  à senhora Melinda Gates, da Bill & Melinda Gates Foundation
 - Encontro com o Secretário-Geral das Nações Unidas, Ban Ki-Moon
 - Abertura do Debate de Alto Nível da 70ª Assembleia-Geral das Nações Unidas
 - Partida para Brasília",2015
