Country,City/region,Period,Host,Overview,year
Mexico,Cancún,"21, 22 e 23 de fevereiro",Host," - Partida para Cancún
 - Chegada a Cancún
 - Jantar oferecido pelo presidente do México, Felipe Calderón
 - Cerimônia de abertura da XXI Cúpula do Grupo do Rio e da II Cúpula da América Latina e do Caribe (CALC)
 - Primeira sessão plenária
 - Encerramento da primeira sessão plenária
 - Fotografia oficial
 - Almoço oferecido pelo presidente do México, Felipe Calderón, aos chefes de Estado e de Governo
 - Segunda sessão plenária
 - Encerramento da segunda sessão plenária
 - Jantar oficial
 - Continuação da segunda sessão plenária
 - Sessão de encerramento da XXI Cúpula do Grupo do Rio e da II Cúpula da América Latina e do Caribe (CALC)
 - Conferência de imprensa
 - Almoço de trabalho com o presidente do México, Felipe Calderón
 - Encontro com empresários brasileiros e mexicanos no contexto do Foro Estratégico Empresarial
 - Cerimônia de assinatura de atos e comunicado à imprensa
 - Partida para Havana",2010
Cuba,Havana,"23, 24 e 25 de fevereiro",Host," - Chegada a Havana
 - Almoço livre
 - Encontro com o comandante Fidel Castro
 - Cerimônia  de  encerramento  do  grupo  de  Trabalho  Brasil-Cuba  para  Assuntos Econômicos e Comerciais
 - Encontro com o presidente de Cuba, Raúl Castro
 - Jantar oferecido pelo presidente de Cuba, Raúl Castro
 - Partida para Porto Príncipe (Haiti)",2010
Haiti,Port-au-Prince,25 de fevereiro,Host," - Chegada a Porto Príncipe
 - Sobrevoo, em helicóptero, sobre a cidade de Porto Príncipe
 - Cerimônia de formatura das tropas brasileiras da Missão da   ONU (Minustah)
 - Almoço com as tropas brasileiras da Minustah
 - Visita às instalações do Contingente Brasileiro de Força de Paz: Base Acadêmica Rachel de Queiroz - Grupamento Operativo dos Fuzileiros Navais (Bramar), da Base da Companhia de Engenharia do Exército Brasileiro (BRAENGCOY) e do Hospital de Campo da Força
 - Encontro com o presidente do Haiti, René Préval, e com o primeiro-ministro, Jean-Max Bellerive
 - Partida para São Salvador",2010
El Salvador,San Salvador,25 e 26 de fevereiro,Host," - Chegada a São Salvador
 - Jantar com o presidente de El Salvador, Maurício Funes
 - Encontro com empresários salvadorenhos
 - Visita à cripta do Monseñor Oscar Romero, deposição de coroa de flores
 - Reunião privada com o presidente de El Salvador, Maurício Funes
 - Cerimônia de assinatura de atos
 - Cerimônia de condecoração do presidente Luiz Inácio Lula da Silva com a ordem ""José Matias Delgado"" na Grã-Cruz Placa de Ouro e de condecoração do presidente de El Salvador, Maurício Funes, com o Grande Colar da Ordem Nacional do Cruzeiro do Sul
 - Entrevista coletiva
 - Almoço oferecido pelo presidente de El Salvador, Maurício Funes, e pela primeira- dama, Vanda Pignato",2010
Urugay,Montevideo and Santiago,1º de março,Host," - Cerimônia de Declaração de Fidelidade Constitucional do presidente eleito do Uruguai, José Mujica
 - Partida para Santiago
 - Chegada a Santiago
 - Encontro com a presidente do Chile, Michelle Bachelet",2010
Chile,Montevideo and Santiago,1º de março,Host," - Cerimônia de Declaração de Fidelidade Constitucional do presidente eleito do Uruguai, José Mujica
 - Partida para Santiago
 - Chegada a Santiago
 - Encontro com a presidente do Chile, Michelle Bachelet",2010
Israel,"Jerusalem, Bethlehem, Ramallah and Amman","14, 15, 16, 17 e 18 de março",Host," - Chegada a Tel Aviv
 - Partida para Jerusalém
 - Chegada a Jerusalém
 - Cerimônia oficial de chegada
 - Encontro com o presidente do Estado de Israel, Shimon Peres
 - Participação no Seminário Empresarial “Brasil-Israel: Livre Comércio e Oportunidades de Negócios”
 - Audiência à líder da oposição, Tzipi Livni
 - Almoço privado
 - Encontro com a delegação da Universidade Hebraica
 - Cerimônia oficial de chegada ao parlamento israelense (Knesset)
 - Encontro com o presidente do parlamento israelense (Knesset), deputado Reuven Rivlin
 - Sessão plenária especial da Knesset
 - Encontro com o primeiro-ministro de Israel, Benjamin Netanyahu
 - Jantar oferecido pelo presidente de Israel, Shimon Peres
 - [Jerusalem]
 - Visita ao Museu do Holocausto (Yad Vashem)
 - Cerimônia de plantio de árvore no Bosque de Jerusalém
 - Representantes da sociedade civil israelense e palestina em Jerusalém (Geneva Initiative, Fórum Circle of Parents-Families e Passia)
 - Almoço privado (ANP)
 - [Bethlehem]
 - Cerimônia oficial de chegada ao palácio presidencial da Autoridade Nacional Palestina
 - Encontro com o presidente da ANP, Mahmoud Abbas
 - Cerimônia de encerramento do encontro empresarial Brasil-Palestina
 - Jantar oferecido pelo presidente da ANP, Mahmoud Abbas, com a presença do primeiro-ministro, Salam Fayaad
 - [Ramallah]
 - Cerimônia de inauguração da Rua Brasil
 - Cerimônia de deposição floral no mausoléu de Yasser Arafat Sede da presidência da Autoridade Nacional Palestina (ANP), Muqata
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - [Amman]
 - Encontro privado com o rei Abdullah II e a rainha Rania, da Jordânia
 - Reunião de trabalho
 - Jantar oferecido pelo rei Abdullah II e pela rainha Rania
 - [Amman]
 - Encontro com o príncipe Hassan ibn Talal
 - Visita de cortesia do presidente do Senado jordaniano, Taher Masri
 - Reunião com o primeiro-ministro da Jordânia, Samir Rifai
 - Participação no encontro empresarial Brasil-Jordânia",2010
Palestine,"Jerusalem, Bethlehem, Ramallah and Amman","14, 15, 16, 17 e 18 de março",Host," - Chegada a Tel Aviv
 - Partida para Jerusalém
 - Chegada a Jerusalém
 - Cerimônia oficial de chegada
 - Encontro com o presidente do Estado de Israel, Shimon Peres
 - Participação no Seminário Empresarial “Brasil-Israel: Livre Comércio e Oportunidades de Negócios”
 - Audiência à líder da oposição, Tzipi Livni
 - Almoço privado
 - Encontro com a delegação da Universidade Hebraica
 - Cerimônia oficial de chegada ao parlamento israelense (Knesset)
 - Encontro com o presidente do parlamento israelense (Knesset), deputado Reuven Rivlin
 - Sessão plenária especial da Knesset
 - Encontro com o primeiro-ministro de Israel, Benjamin Netanyahu
 - Jantar oferecido pelo presidente de Israel, Shimon Peres
 - [Jerusalem]
 - Visita ao Museu do Holocausto (Yad Vashem)
 - Cerimônia de plantio de árvore no Bosque de Jerusalém
 - Representantes da sociedade civil israelense e palestina em Jerusalém (Geneva Initiative, Fórum Circle of Parents-Families e Passia)
 - Almoço privado (ANP)
 - [Bethlehem]
 - Cerimônia oficial de chegada ao palácio presidencial da Autoridade Nacional Palestina
 - Encontro com o presidente da ANP, Mahmoud Abbas
 - Cerimônia de encerramento do encontro empresarial Brasil-Palestina
 - Jantar oferecido pelo presidente da ANP, Mahmoud Abbas, com a presença do primeiro-ministro, Salam Fayaad
 - [Ramallah]
 - Cerimônia de inauguração da Rua Brasil
 - Cerimônia de deposição floral no mausoléu de Yasser Arafat Sede da presidência da Autoridade Nacional Palestina (ANP), Muqata
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - [Amman]
 - Encontro privado com o rei Abdullah II e a rainha Rania, da Jordânia
 - Reunião de trabalho
 - Jantar oferecido pelo rei Abdullah II e pela rainha Rania
 - [Amman]
 - Encontro com o príncipe Hassan ibn Talal
 - Visita de cortesia do presidente do Senado jordaniano, Taher Masri
 - Reunião com o primeiro-ministro da Jordânia, Samir Rifai
 - Participação no encontro empresarial Brasil-Jordânia",2010
West Bank and Gaza,"Jerusalem, Bethlehem, Ramallah and Amman","14, 15, 16, 17 e 18 de março",Host," - Chegada a Tel Aviv
 - Partida para Jerusalém
 - Chegada a Jerusalém
 - Cerimônia oficial de chegada
 - Encontro com o presidente do Estado de Israel, Shimon Peres
 - Participação no Seminário Empresarial “Brasil-Israel: Livre Comércio e Oportunidades de Negócios”
 - Audiência à líder da oposição, Tzipi Livni
 - Almoço privado
 - Encontro com a delegação da Universidade Hebraica
 - Cerimônia oficial de chegada ao parlamento israelense (Knesset)
 - Encontro com o presidente do parlamento israelense (Knesset), deputado Reuven Rivlin
 - Sessão plenária especial da Knesset
 - Encontro com o primeiro-ministro de Israel, Benjamin Netanyahu
 - Jantar oferecido pelo presidente de Israel, Shimon Peres
 - [Jerusalem]
 - Visita ao Museu do Holocausto (Yad Vashem)
 - Cerimônia de plantio de árvore no Bosque de Jerusalém
 - Representantes da sociedade civil israelense e palestina em Jerusalém (Geneva Initiative, Fórum Circle of Parents-Families e Passia)
 - Almoço privado (ANP)
 - [Bethlehem]
 - Cerimônia oficial de chegada ao palácio presidencial da Autoridade Nacional Palestina
 - Encontro com o presidente da ANP, Mahmoud Abbas
 - Cerimônia de encerramento do encontro empresarial Brasil-Palestina
 - Jantar oferecido pelo presidente da ANP, Mahmoud Abbas, com a presença do primeiro-ministro, Salam Fayaad
 - [Ramallah]
 - Cerimônia de inauguração da Rua Brasil
 - Cerimônia de deposição floral no mausoléu de Yasser Arafat Sede da presidência da Autoridade Nacional Palestina (ANP), Muqata
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - [Amman]
 - Encontro privado com o rei Abdullah II e a rainha Rania, da Jordânia
 - Reunião de trabalho
 - Jantar oferecido pelo rei Abdullah II e pela rainha Rania
 - [Amman]
 - Encontro com o príncipe Hassan ibn Talal
 - Visita de cortesia do presidente do Senado jordaniano, Taher Masri
 - Reunião com o primeiro-ministro da Jordânia, Samir Rifai
 - Participação no encontro empresarial Brasil-Jordânia",2010
Jordan,"Jerusalem, Bethlehem, Ramallah and Amman","14, 15, 16, 17 e 18 de março",Host," - Chegada a Tel Aviv
 - Partida para Jerusalém
 - Chegada a Jerusalém
 - Cerimônia oficial de chegada
 - Encontro com o presidente do Estado de Israel, Shimon Peres
 - Participação no Seminário Empresarial “Brasil-Israel: Livre Comércio e Oportunidades de Negócios”
 - Audiência à líder da oposição, Tzipi Livni
 - Almoço privado
 - Encontro com a delegação da Universidade Hebraica
 - Cerimônia oficial de chegada ao parlamento israelense (Knesset)
 - Encontro com o presidente do parlamento israelense (Knesset), deputado Reuven Rivlin
 - Sessão plenária especial da Knesset
 - Encontro com o primeiro-ministro de Israel, Benjamin Netanyahu
 - Jantar oferecido pelo presidente de Israel, Shimon Peres
 - [Jerusalem]
 - Visita ao Museu do Holocausto (Yad Vashem)
 - Cerimônia de plantio de árvore no Bosque de Jerusalém
 - Representantes da sociedade civil israelense e palestina em Jerusalém (Geneva Initiative, Fórum Circle of Parents-Families e Passia)
 - Almoço privado (ANP)
 - [Bethlehem]
 - Cerimônia oficial de chegada ao palácio presidencial da Autoridade Nacional Palestina
 - Encontro com o presidente da ANP, Mahmoud Abbas
 - Cerimônia de encerramento do encontro empresarial Brasil-Palestina
 - Jantar oferecido pelo presidente da ANP, Mahmoud Abbas, com a presença do primeiro-ministro, Salam Fayaad
 - [Ramallah]
 - Cerimônia de inauguração da Rua Brasil
 - Cerimônia de deposição floral no mausoléu de Yasser Arafat Sede da presidência da Autoridade Nacional Palestina (ANP), Muqata
 - Cerimônia de assinatura de atos
 - Declaração à imprensa
 - [Amman]
 - Encontro privado com o rei Abdullah II e a rainha Rania, da Jordânia
 - Reunião de trabalho
 - Jantar oferecido pelo rei Abdullah II e pela rainha Rania
 - [Amman]
 - Encontro com o príncipe Hassan ibn Talal
 - Visita de cortesia do presidente do Senado jordaniano, Taher Masri
 - Reunião com o primeiro-ministro da Jordânia, Samir Rifai
 - Participação no encontro empresarial Brasil-Jordânia",2010
